"No.","Time","Source","Signal strength (dBm)","Sequence number","SSID","Supported Rates","Extended Supported Rates","HT Capabilities Info","A-MPDU Parameters","HT Extended Capabilities","Tag Number","Transmit Beam Forming (TxBF) Capabilities (VS)","Channel","UUID Enrollee","Primary Device Type","Model Name","Model Number","Device Name","Vendor Extension","Vendor ID","OUI"
"675678","2017-07-12 13:16:50.057120680","2c:0e:3d:d8:aa:98","-45","3323","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
"675733","2017-07-12 13:16:50.077919995","2c:0e:3d:d8:aa:98","-46","3324","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
"698959","2017-07-12 13:17:00.397961861","2c:0e:3d:d8:aa:98","-57","3342","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
"698981","2017-07-12 13:17:00.418712439","2c:0e:3d:d8:aa:98","-43","3343","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
"708546","2017-07-12 13:17:05.227382030","2c:0e:3d:d8:aa:98","-58","3363","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
"708547","2017-07-12 13:17:05.228691266","2c:0e:3d:d8:aa:98","-58","3364","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
"733933","2017-07-12 13:17:15.751818931","2c:0e:3d:d8:aa:98","-48","3382","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
"733959","2017-07-12 13:17:15.772490104","2c:0e:3d:d8:aa:98","-47","3383","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
"749010","2017-07-12 13:17:27.066187999","2c:0e:3d:d8:aa:98","-55","3401","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
"749011","2017-07-12 13:17:27.067521327","2c:0e:3d:d8:aa:98","-56","3402","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
