"No.","Time","Source","Destination","Length","Signal strength (dBm)","Frame Number","Frequency","Sequence number","SSID","Supported Rates","Extended Supported Rates","HT Capabilities Info","A-MPDU Parameters","HT Extended Capabilities","Tag Number","Rx Modulation and Coding Scheme (One bit per modulation)","Antenna Selection (ASEL) Capabilities (VS)","Transmit Beam Forming (TxBF) Capabilities (VS)"
"2926","2017-07-02 16:26:02.702498659","HuaweiTe_fd:87:ce","Broadcast","279","-82","2926","2422","224","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"2929","2017-07-02 16:26:02.949558678","HuaweiTe_fd:87:ce","Broadcast","279","-90","2929","2452","232","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"2996","2017-07-02 16:26:13.431486013","HuaweiTe_fd:87:ce","Broadcast","295","-83","2996","2422","248","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"2997","2017-07-02 16:26:13.433713823","HuaweiTe_fd:87:ce","Broadcast","279","-82","2997","2422","249","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"2998","2017-07-02 16:26:13.493200371","HuaweiTe_fd:87:ce","Broadcast","295","-84","2998","2422","250","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"2999","2017-07-02 16:26:13.495394615","HuaweiTe_fd:87:ce","Broadcast","279","-83","2999","2422","251","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3000","2017-07-02 16:26:13.554646051","HuaweiTe_fd:87:ce","Broadcast","295","-86","3000","2422","252","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3001","2017-07-02 16:26:13.556889550","HuaweiTe_fd:87:ce","Broadcast","279","-87","3001","2422","253","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3073","2017-07-02 16:26:24.286223593","HuaweiTe_fd:87:ce","Broadcast","295","-83","3073","2422","275","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3074","2017-07-02 16:26:24.288459525","HuaweiTe_fd:87:ce","Broadcast","279","-83","3074","2422","276","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3076","2017-07-02 16:26:24.347846577","HuaweiTe_fd:87:ce","Broadcast","295","-81","3076","2422","277","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3077","2017-07-02 16:26:24.350078851","HuaweiTe_fd:87:ce","Broadcast","279","-81","3077","2422","278","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3078","2017-07-02 16:26:24.411809455","HuaweiTe_fd:87:ce","Broadcast","279","-83","3078","2422","280","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3081","2017-07-02 16:26:24.656793125","HuaweiTe_fd:87:ce","Broadcast","295","-94","3081","2452","287","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3138","2017-07-02 16:26:32.460052524","LgElectr_0d:f5:8b","Broadcast","166","-45","3138","2432","3798","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"3139","2017-07-02 16:26:32.475336924","LgElectr_0d:f5:8b","Broadcast","166","-52","3139","2432","3799","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"3140","2017-07-02 16:26:32.491818734","LgElectr_0d:f5:8b","Broadcast","166","-63","3140","2432","3800","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"3141","2017-07-02 16:26:32.507316883","LgElectr_0d:f5:8b","Broadcast","166","-51","3141","2432","3801","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"3142","2017-07-02 16:26:32.590950330","LgElectr_0d:f5:8b","Broadcast","166","-83","3142","2432","3806","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"3147","2017-07-02 16:26:33.236021313","HuaweiTe_fd:87:ce","Broadcast","279","-86","3147","2467","302","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3272","2017-07-02 16:26:45.617890218","LgElectr_0d:f5:8b","Broadcast","166","-46","3272","2422","3887","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"3274","2017-07-02 16:26:45.729882594","LgElectr_0d:f5:8b","Broadcast","166","-79","3274","2422","3894","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"3275","2017-07-02 16:26:45.746968469","LgElectr_0d:f5:8b","Broadcast","166","-80","3275","2422","3895","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"3305","2017-07-02 16:26:49.871563954","LgElectr_0d:f5:8b","Broadcast","166","-77","3305","2452","3935","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"3306","2017-07-02 16:26:49.930313453","LgElectr_0d:f5:8b","Broadcast","166","-65","3306","2452","3938","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"3307","2017-07-02 16:26:49.973855338","LgElectr_0d:f5:8b","Broadcast","166","-38","3307","2452","3942","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"3308","2017-07-02 16:26:49.984539760","LgElectr_0d:f5:8b","Broadcast","166","-38","3308","2452","3943","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"3309","2017-07-02 16:26:50.007004910","LgElectr_0d:f5:8b","Broadcast","166","-86","3309","2427","3945","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"3377","2017-07-02 16:26:55.683122454","HuaweiTe_fd:87:ce","Broadcast","295","-88","3377","2472","379","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3378","2017-07-02 16:26:55.685379224","HuaweiTe_fd:87:ce","Broadcast","279","-87","3378","2472","380","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3383","2017-07-02 16:26:56.550794710","LgElectr_0d:f5:8b","Broadcast","166","-54","3383","2422","4008","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"3384","2017-07-02 16:26:56.561022133","LgElectr_0d:f5:8b","Broadcast","166","-52","3384","2422","4009","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"3385","2017-07-02 16:26:56.572491014","LgElectr_0d:f5:8b","Broadcast","166","-44","3385","2422","4010","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"3386","2017-07-02 16:26:56.582871448","LgElectr_0d:f5:8b","Broadcast","166","-45","3386","2422","4011","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"3387","2017-07-02 16:26:56.604722144","LgElectr_0d:f5:8b","Broadcast","166","-44","3387","2422","4013","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"3447","2017-07-02 16:27:05.796981676","HuaweiTe_fd:87:ce","Broadcast","295","-90","3447","2467","382","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3461","2017-07-02 16:27:06.537878604","HuaweiTe_fd:87:ce","Broadcast","295","-89","3461","2472","406","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3462","2017-07-02 16:27:06.540173446","HuaweiTe_fd:87:ce","Broadcast","279","-88","3462","2472","407","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3505","2017-07-02 16:27:12.326785464","HuaweiTe_fd:87:ce","Broadcast","295","-86","3505","2432","415","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3506","2017-07-02 16:27:12.388659482","HuaweiTe_fd:87:ce","Broadcast","295","-85","3506","2432","417","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3507","2017-07-02 16:27:12.390908107","HuaweiTe_fd:87:ce","Broadcast","279","-86","3507","2432","418","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3581","2017-07-02 16:27:23.187779014","HuaweiTe_fd:87:ce","Broadcast","295","-88","3581","2432","442","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3582","2017-07-02 16:27:23.252001315","HuaweiTe_fd:87:ce","Broadcast","279","-90","3582","2432","445","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3655","2017-07-02 16:27:34.042235474","HuaweiTe_fd:87:ce","Broadcast","295","-86","3655","2432","472","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3656","2017-07-02 16:27:34.044477146","HuaweiTe_fd:87:ce","Broadcast","279","-84","3656","2432","473","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3657","2017-07-02 16:27:34.106437497","HuaweiTe_fd:87:ce","Broadcast","279","-84","3657","2432","475","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"3661","2017-07-02 16:27:34.660635725","HuaweiTe_fd:87:ce","AdbBroad_94:c2:53","295","-87","3661","2467","492","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
