"No.","Time","Source","Destination","Length","Signal strength (dBm)","Frame Number","Frequency","Sequence number","SSID","Supported Rates","Extended Supported Rates","HT Capabilities Info","A-MPDU Parameters","HT Extended Capabilities","Tag Number","Rx Modulation and Coding Scheme (One bit per modulation)","Antenna Selection (ASEL) Capabilities (VS)","Transmit Beam Forming (TxBF) Capabilities (VS)"
"662","2017-07-02 16:22:30.759351344","HuaweiTe_fd:87:ce","Broadcast","279","-84","662","2462","3559","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"667","2017-07-02 16:22:30.998968274","HuaweiTe_fd:87:ce","Broadcast","295","-85","667","2437","3566","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"668","2017-07-02 16:22:31.001224148","HuaweiTe_fd:87:ce","Broadcast","279","-84","668","2437","3567","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"669","2017-07-02 16:22:31.060776031","HuaweiTe_fd:87:ce","Broadcast","295","-82","669","2437","3568","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"670","2017-07-02 16:22:31.062982005","HuaweiTe_fd:87:ce","Broadcast","279","-82","670","2437","3569","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"673","2017-07-02 16:22:31.370054516","HuaweiTe_fd:87:ce","Broadcast","295","-89","673","2412","3578","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"674","2017-07-02 16:22:31.372298868","HuaweiTe_fd:87:ce","Broadcast","279","-89","674","2412","3579","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"754","2017-07-02 16:22:41.607398781","HuaweiTe_fd:87:ce","Broadcast","295","-85","754","2462","3585","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"757","2017-07-02 16:22:41.614786176","HuaweiTe_fd:87:ce","Broadcast","279","-85","757","2462","3586","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"761","2017-07-02 16:22:41.854726532","HuaweiTe_fd:87:ce","Broadcast","295","-91","761","2437","3593","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"762","2017-07-02 16:22:41.916738717","HuaweiTe_fd:87:ce","Broadcast","295","-85","762","2437","3595","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"763","2017-07-02 16:22:41.918930535","HuaweiTe_fd:87:ce","Broadcast","279","-85","763","2437","3596","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"768","2017-07-02 16:22:42.225639288","HuaweiTe_fd:87:ce","Broadcast","295","-86","768","2412","3605","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"769","2017-07-02 16:22:42.227900348","HuaweiTe_fd:87:ce","Broadcast","279","-86","769","2412","3606","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"810","2017-07-02 16:22:47.847636163","HuaweiTe_cf:32:2d","Broadcast","85","-90","810","2452","2570","","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,DS Parameter set,Extended Supported Rates","","",""
"811","2017-07-02 16:22:47.868743353","HuaweiTe_cf:32:2d","Broadcast","85","-80","811","2452","2571","","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,DS Parameter set,Extended Supported Rates","","",""
"840","2017-07-02 16:22:52.463652971","HuaweiTe_fd:87:ce","Broadcast","295","-86","840","2462","3612","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"841","2017-07-02 16:22:52.467207693","HuaweiTe_fd:87:ce","Broadcast","279","-84","841","2462","3613","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"846","2017-07-02 16:22:52.710221080","HuaweiTe_fd:87:ce","Broadcast","295","-89","846","2437","3620","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"847","2017-07-02 16:22:52.712468831","HuaweiTe_fd:87:ce","Broadcast","279","-86","847","2437","3621","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"848","2017-07-02 16:22:52.772045806","HuaweiTe_fd:87:ce","Broadcast","295","-85","848","2437","3622","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"849","2017-07-02 16:22:52.775450082","HuaweiTe_fd:87:ce","Broadcast","279","-83","849","2437","3623","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"861","2017-07-02 16:22:53.081302991","HuaweiTe_fd:87:ce","Broadcast","295","-88","861","2412","3632","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"862","2017-07-02 16:22:53.083558533","HuaweiTe_fd:87:ce","Broadcast","279","-92","862","2412","3633","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"924","2017-07-02 16:23:03.318619527","HuaweiTe_fd:87:ce","Broadcast","295","-83","924","2462","3640","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"927","2017-07-02 16:23:03.325954814","HuaweiTe_fd:87:ce","Broadcast","279","-82","927","2462","3641","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"931","2017-07-02 16:23:03.566148915","HuaweiTe_fd:87:ce","Broadcast","295","-85","931","2437","3648","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"937","2017-07-02 16:23:03.936475819","HuaweiTe_fd:87:ce","Broadcast","295","-85","937","2412","3660","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"938","2017-07-02 16:23:03.938735152","HuaweiTe_fd:87:ce","Broadcast","279","-85","938","2412","3661","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"977","2017-07-02 16:23:07.728528142","HuaweiTe_cf:32:2d","Broadcast","102","-78","977","2412","2580","BT ITINTES OO6988","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,DS Parameter set,Extended Supported Rates","","",""
"1015","2017-07-02 16:23:14.174056524","HuaweiTe_fd:87:ce","Broadcast","295","-84","1015","2462","3667","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1018","2017-07-02 16:23:14.181490414","HuaweiTe_fd:87:ce","Broadcast","279","-82","1018","2462","3668","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1022","2017-07-02 16:23:14.421795407","HuaweiTe_fd:87:ce","Broadcast","295","-89","1022","2437","3675","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1023","2017-07-02 16:23:14.423932470","HuaweiTe_fd:87:ce","Broadcast","279","-87","1023","2437","3676","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1028","2017-07-02 16:23:14.792811343","HuaweiTe_fd:87:ce","Broadcast","295","-85","1028","2412","3687","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1029","2017-07-02 16:23:14.795046758","HuaweiTe_fd:87:ce","Broadcast","279","-87","1029","2412","3688","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1112","2017-07-02 16:23:25.030148220","HuaweiTe_fd:87:ce","Broadcast","295","-85","1112","2462","3694","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1113","2017-07-02 16:23:25.033708465","HuaweiTe_fd:87:ce","Broadcast","279","-83","1113","2462","3695","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1117","2017-07-02 16:23:25.277348456","HuaweiTe_fd:87:ce","Broadcast","295","-81","1117","2437","3702","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1118","2017-07-02 16:23:25.279600940","HuaweiTe_fd:87:ce","Broadcast","279","-82","1118","2437","3703","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1123","2017-07-02 16:23:25.648458846","HuaweiTe_fd:87:ce","Broadcast","295","-88","1123","2412","3714","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1200","2017-07-02 16:23:36.135587290","HuaweiTe_fd:87:ce","Broadcast","279","-83","1200","2437","3730","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1206","2017-07-02 16:23:36.503497315","HuaweiTe_fd:87:ce","Broadcast","295","-88","1206","2412","3741","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1207","2017-07-02 16:23:36.505738662","HuaweiTe_fd:87:ce","Broadcast","279","-88","1207","2412","3742","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1287","2017-07-02 16:23:47.358142497","HuaweiTe_fd:87:ce","Broadcast","295","-89","1287","2412","3768","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1288","2017-07-02 16:23:47.360335332","HuaweiTe_fd:87:ce","Broadcast","279","-88","1288","2412","3769","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1364","2017-07-02 16:23:58.214187853","HuaweiTe_fd:87:ce","Broadcast","295","-85","1364","2412","3795","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1365","2017-07-02 16:23:58.216444243","HuaweiTe_fd:87:ce","Broadcast","279","-88","1365","2412","3796","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1434","2017-07-02 16:24:08.279818836","HuaweiTe_fd:87:ce","AdbBroad_94:c2:53","295","-84","1434","2462","3802","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1457","2017-07-02 16:24:09.214463360","HuaweiTe_fd:87:ce","Broadcast","295","-85","1457","2442","3815","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1458","2017-07-02 16:24:09.216720605","HuaweiTe_fd:87:ce","Broadcast","279","-83","1458","2442","3816","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1459","2017-07-02 16:24:09.276307555","HuaweiTe_fd:87:ce","Broadcast","295","-87","1459","2442","3817","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1460","2017-07-02 16:24:09.526111581","HuaweiTe_fd:87:ce","Broadcast","279","-90","1460","2472","3826","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1461","2017-07-02 16:24:09.585619929","HuaweiTe_fd:87:ce","Broadcast","295","-89","1461","2472","3827","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1462","2017-07-02 16:24:09.587874694","HuaweiTe_fd:87:ce","Broadcast","279","-88","1462","2472","3828","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1505","2017-07-02 16:24:15.383070243","HuaweiTe_fd:87:ce","Broadcast","279","-86","1505","2462","3838","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1511","2017-07-02 16:24:15.685729737","HuaweiTe_fd:87:ce","Broadcast","295","-85","1511","2437","3847","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1512","2017-07-02 16:24:15.687874739","HuaweiTe_fd:87:ce","Broadcast","279","-84","1512","2437","3848","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1556","2017-07-02 16:24:20.644733901","HuaweiTe_cf:32:2d","Broadcast","95","-80","1556","2417","2638","balli.2017","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,DS Parameter set,Extended Supported Rates","","",""
"1595","2017-07-02 16:24:26.510842112","HuaweiTe_fd:87:ce","Broadcast","295","-89","1595","2437","3878","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1596","2017-07-02 16:24:26.513087216","HuaweiTe_fd:87:ce","Broadcast","279","-86","1596","2437","3879","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1600","2017-07-02 16:24:26.882447257","HuaweiTe_fd:87:ce","Broadcast","295","-85","1600","2467","3890","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1601","2017-07-02 16:24:26.884618706","HuaweiTe_fd:87:ce","Broadcast","279","-84","1601","2467","3891","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1603","2017-07-02 16:24:26.944346084","HuaweiTe_fd:87:ce","Broadcast","295","-84","1603","2467","3892","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1604","2017-07-02 16:24:26.946678024","HuaweiTe_fd:87:ce","Broadcast","279","-85","1604","2467","3893","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1640","2017-07-02 16:24:31.386775623","LgElectr_0d:f5:8b","Broadcast","166","-55","1640","2417","2984","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1641","2017-07-02 16:24:31.398237028","LgElectr_0d:f5:8b","Broadcast","166","-52","1641","2417","2985","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1642","2017-07-02 16:24:31.408609805","LgElectr_0d:f5:8b","Broadcast","166","-50","1642","2417","2986","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1643","2017-07-02 16:24:31.419778222","LgElectr_0d:f5:8b","Broadcast","166","-48","1643","2417","2987","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1644","2017-07-02 16:24:31.430231433","LgElectr_0d:f5:8b","Broadcast","166","-46","1644","2417","2988","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1645","2017-07-02 16:24:31.451915220","LgElectr_0d:f5:8b","Broadcast","166","-52","1645","2417","2990","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1688","2017-07-02 16:24:36.966193498","LgElectr_0d:f5:8b","Broadcast","166","-36","1688","2432","3061","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1689","2017-07-02 16:24:36.976545160","LgElectr_0d:f5:8b","Broadcast","166","-36","1689","2432","3062","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1690","2017-07-02 16:24:36.987991574","LgElectr_0d:f5:8b","Broadcast","166","-34","1690","2432","3063","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1691","2017-07-02 16:24:36.998345246","LgElectr_0d:f5:8b","Broadcast","166","-34","1691","2432","3064","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1692","2017-07-02 16:24:37.067295891","LgElectr_0d:f5:8b","Broadcast","166","-86","1692","2462","3068","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1698","2017-07-02 16:24:37.146794166","LgElectr_0d:f5:8b","Broadcast","166","-39","1698","2462","3075","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1702","2017-07-02 16:24:37.157712203","LgElectr_0d:f5:8b","Broadcast","166","-38","1702","2462","3076","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1715","2017-07-02 16:24:37.214925409","LgElectr_0d:f5:8b","Broadcast","166","-38","1715","2462","3079","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1718","2017-07-02 16:24:37.225964834","LgElectr_0d:f5:8b","Broadcast","166","-38","1718","2462","3080","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
