"No.","Time","Source","Signal strength (dBm)","Sequence number","SSID","Supported Rates","Extended Supported Rates","HT Capabilities Info","A-MPDU Parameters","HT Extended Capabilities","Tag Number","Transmit Beam Forming (TxBF) Capabilities (VS)","Channel","UUID Enrollee","Primary Device Type","Model Name","Model Number","Device Name","Vendor Extension","Vendor ID","OUI"
"64128","2017-07-12 12:31:32.685275598","c0:ee:fb:5e:49:36","-78","2130","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"64342","2017-07-12 12:31:34.711882882","54:8c:a0:34:be:c4","-89","1947","","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","0x016e","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10)","","1","","","","","","","",""
"64352","2017-07-12 12:31:34.736038596","54:8c:a0:34:be:c4","-90","1948","","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","0x016e","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10)","","1","","","","","","","",""
"64524","2017-07-12 12:31:36.050141041","54:8c:a0:34:be:c4","-88","1969","","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","0x016e","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10)","","1","","","","","","","",""
"64693","2017-07-12 12:31:37.208668292","74:2f:68:41:17:41","-94","528","eduroam","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,Extended Supported Rates","","1","","","","","","","",""
"64727","2017-07-12 12:31:37.589789804","fc:19:10:8c:8a:b9","-94","257","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
"65859","2017-07-12 12:31:50.875746215","d0:23:db:d0:ec:88","-88","3193","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x1800","0x1b","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","0x00000000","1","","","","","","","","00-10-18,00-90-4c"
"66119","2017-07-12 12:31:53.377194799","c0:ee:fb:5e:49:36","-37","2140","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"66124","2017-07-12 12:31:53.393277126","c0:ee:fb:5e:49:36","-37","2141","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"66126","2017-07-12 12:31:53.397658807","c0:ee:fb:5e:49:36","-38","2142","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
