"No.","Time","Source","Destination","Signal strength (dBm)","Frequency","Sequence number","SSID","Supported Rates","Extended Supported Rates","HT Capabilities Info","A-MPDU Parameters","HT Extended Capabilities","Tag Number","Rx Modulation and Coding Scheme (One bit per modulation)","Antenna Selection (ASEL) Capabilities (VS)","Transmit Beam Forming (TxBF) Capabilities (VS)","Frequency","Channel","UUID Enrollee","Primary Device Type","Model Name","Model Number","Device Name","Vendor Extension","Vendor ID","OUI"
"494","2017-07-02 16:22:09.039781128","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-85","2462","3502","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2462","11","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"496","2017-07-02 16:22:09.046372999","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-88","2462","3503","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2462","11","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"501","2017-07-02 16:22:09.349348715","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-84","2437","3512","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"502","2017-07-02 16:22:09.351570839","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-83","2437","3513","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"581","2017-07-02 16:22:19.896749860","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-87","2462","3531","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2462","11","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"583","2017-07-02 16:22:19.903307128","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-85","2462","3532","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2462","11","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"587","2017-07-02 16:22:20.144471255","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-88","2437","3539","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"588","2017-07-02 16:22:20.206013672","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-84","2437","3541","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"589","2017-07-02 16:22:20.208185486","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-84","2437","3542","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"660","2017-07-02 16:22:30.752295522","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-84","2462","3558","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2462","11","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
