,companyName,country,prefix,streetAddress1,streetAddress2
62,Intel Corporate,MY,001302,"Lot 8, Jalan Hi-tech 2/3",Kulim  Kedah  09000
63,Intel Corporate,MY,E4F89C,"Lot 8, Jalan Hi-Tech 2/3",Kulim  Kedah  09000
64,Intel Corporate,MY,A402B9,"Lot 8, Jalan Hi-Tech 2/3",Kulim  Kedah  09000
65,"Shenzhen ViewAt Technology Co.,Ltd. ",CN,E043DB,"9A,Microprofit,6th Gaoxin South Road, High-Tech Industrial Park, Nanshan, Shenzhen, CHINA.",shenzhen  guangdong  518057
66,Integrated Device Technology (Malaysia) Sdn. Bhd.,MY,2405F5,"Phase 3, Bayan Lepas FIZ",Bayan Lepas  Penang  11900
67,NETGEAR,US,2C3033,350 East Plumeria Drive,San Jose  null  95134
68,Hewlett Packard,US,3CD92B,11445 Compaq Center Drive,Houston    77070
69,Hewlett Packard,US,9C8E99,11445 Compaq Center Drive,Houston    77070
70,Hewlett Packard,US,B499BA,11445 Compaq Center Drive,Houston    77070
71,Hewlett Packard,US,1CC1DE,11445 Compaq Center Drive,Houston    77070
72,Cognitec Systems GmbH,DE,3C3556,Großenhainer Str. 101,Dresden  Saxony  01127
73,D-Link Corporation,TW,0050BA,"2F, NO. 233L-2, PAO-CHIAO RD.",TAIPEI    0000
74,D-Link Corporation,TW,00179A,"No. 289, Sinhu 3rd Rd., Neihu District,",Taipei    114
75,D-Link International,SG,1CBDB9,"1 INTERNATIONAL  BUSINESS  PARK,",SINGAPORE    609917
76,D-Link International,SG,9094E4,"1 International Business Park, #03-12, The Synergy ",SINGAPORE    609917
77,D-Link International,SG,28107B,"1 International Business Park, #03-12, The Synergy ",SINGAPORE    609917
78,D-Link International,SG,1C7EE5,"1 International Business Park, #03-12, The Synergy ",SINGAPORE    609917
79,D-Link International,SG,C4A81D,"1 Internal Business Park, #03-12,",SINGAPORE  Singapore  609917
80,Sagemcom Broadband SAS,FR,18622C,250 route de l'Empereur,RUEIL MALMAISON CEDEX  Hauts de Seine  92848
81,Sagemcom Broadband SAS,FR,7C03D8,250 route de l'Empereur,RUEIL MALMAISON CEDEX  Hauts de Seine  92848
82,Sagemcom Broadband SAS,FR,E8F1B0,250 route de l'Empereur,RUEIL MALMAISON CEDEX  Hauts de Seine  92848
83,DGS Denmark A/S,DK,00F871,Kongebakken 9,Smørum    2765
84,COL GIOVANNI PAOLO SpA,IT,20BB76,Via F.lli Ceirano n. 20,Moncalieri  TORINO  10024
85,CTR SRL,IT,2C228B,Via Lario 33,Cantù  Cantù (CO)  22063
86,Sagemcom Broadband SAS,FR,348AAE,250 route de l'Empereur,RUEIL MALMAISON CEDEX  Hauts de Seine  92848
87,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD",CN,BCEC23,"Unit A13-16/F,Skyworth Bldg., Gaoxin Ave.1.S.,Nanshan District,Shenzhen,China",ShenZhen  GuangDong  518057
88,ServerNet S.r.l.,IT,AC06C7,Località Padriciano 99,Trieste  Trieste  34149
89,"Cisco Systems, Inc",US,CC46D6,80 West Tasman Drive,San Jose  CA  94568
90,"HUAWEI TECHNOLOGIES CO.,LTD",CN,48AD08,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
91,"HUAWEI TECHNOLOGIES CO.,LTD",CN,2CAB00,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
92,"HUAWEI TECHNOLOGIES CO.,LTD",CN,00E0FC,"KEFA ROAD, SCIENCE-BASED INDUSTRIAL PARK",SHENZHEN 518057    12345
93,"HUAWEI TECHNOLOGIES CO.,LTD",CN,24DF6A,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan  Guangdong  523808 
94,"HUAWEI TECHNOLOGIES CO.,LTD",CN,009ACD,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan  Guangdong  523808 
95,"Apple, Inc.",US,00CDFE,1 Infinite Loop,Cupertino  CA  95014
96,Microsoft Mobile Oy,FI,38F23E,Keilalahdentie 4,Espoo    02150
97,"Cisco Systems, Inc",US,58AC78,80 West Tasman Dr.,San Jose  CA  94568
